,Country,City,lat,lon,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,job_index
0,Austria,Vienna,48.2083537,16.372504199999998,0.3,1.5,5.7,10.7,15.7,18.7,20.8,20.2,15.4,10.2,5.1,1.1,10.4,0.012059543998492557
1,Belgium,Brussels,50.8465573,4.351697,3.3,3.7,6.8,9.8,13.6,16.2,18.4,18.0,14.9,11.1,6.8,3.9,10.5,0.02798191068400226
2,Bulgaria,Sofia,42.697863399999996,23.322178899999997,-0.5,1.1,5.4,10.6,15.4,18.9,21.2,21.0,16.5,11.3,5.1,0.7,10.6,0.004804974561899378
3,Croatia,Zagreb,45.813177,15.977048000000002,0.3,2.3,6.4,10.7,15.8,18.8,20.6,20.1,15.9,10.5,5.0,1.4,10.7,0.0001884303749764462
4,Czech Republic,Prague,50.0874654,14.4212535,-1.4,-0.4,3.6,8.4,13.4,16.1,18.2,17.8,13.5,8.5,3.1,-0.3,8.4,0.01121160731109855
5,Denmark,Copenhagen,55.6867243,12.5700724,0.6,0.5,2.5,6.1,11.1,14.8,16.9,16.7,13.1,9.1,4.9,2.1,8.2,0.011023176936122103
6,Finland,Helsinki,60.1674086,24.9425683,-3.9,-4.7,-1.3,3.9,10.2,14.6,17.8,16.3,11.5,6.6,1.6,-2.0,5.9,0.00791407574901074
7,Finland,Kuopio,62.8241424,27.594561484489002,-9.2,-9.2,-4.1,2.0,9.1,14.5,17.5,15.0,9.7,4.1,-2.0,-6.7,3.4,0.0004710759374411155
8,Finland,Oulu,65.0118734,25.4716809,-9.6,-9.3,-4.8,1.4,7.8,13.5,16.5,14.1,8.9,3.3,-2.8,-7.1,2.7,0.0002826455624646693
9,France,Marseille,43.2961743,5.3699525,8.4,8.9,11.6,13.8,17.9,21.3,24.5,24.1,20.7,16.9,11.8,9.3,15.8,0.004051253061993594
10,France,Paris,48.856610100000005,2.3514992,4.9,5.6,8.8,11.4,15.1,18.2,20.4,20.2,16.9,12.9,8.1,5.4,12.3,0.15196909741850387
11,Germany,Berlin,52.517036499999996,13.388859900000002,0.6,2.3,5.1,10.2,14.8,17.9,20.3,19.7,15.3,10.5,6.0,1.3,10.3,0.053702656868287166
12,Germany,Frankfurt,50.1106444,8.682091699999999,1.0,2.0,6.0,8.0,13.0,16.0,18.0,18.0,15.0,10.0,5.0,2.0,10.0,0.03740342943282457
13,Greece,Athens,37.9841493,23.7279843,10.2,10.8,13.1,16.8,21.7,26.6,29.3,29.2,25.0,20.1,15.4,11.5,19.1,0.0033917467495760316
14,Hungary,Budapest,47.4983815,19.0404707,0.4,2.3,6.1,12.0,16.6,19.7,21.5,21.2,16.9,11.8,5.4,1.8,11.3,0.013190126248351234
15,Ireland,Dublin,53.3497645,-6.2602732,5.3,5.3,6.8,8.3,10.9,13.6,15.6,15.3,13.4,10.5,7.4,5.6,9.8,0.029395138496325607
16,Italy,Milan,45.4667971,9.1904984,2.5,4.7,9.0,12.2,17.0,20.8,23.6,23.0,19.2,13.4,7.2,3.3,13.0,0.03306953080836631
17,Italy,Rome,41.894802,12.4853384,7.5,8.2,10.2,12.6,17.2,21.1,24.1,24.5,20.8,16.4,11.4,8.4,15.2,0.011588468061051441
18,Netherlands,Amsterdam,52.3745403,4.89797550561798,3.4,3.5,6.1,9.1,12.9,15.4,17.6,17.5,14.7,11.0,7.1,4.0,10.2,0.06416054267947993
19,Norway,Bergen,60.3943034,5.3258117,1.5,1.6,3.3,5.9,10.5,13.5,14.5,14.4,11.5,8.7,4.7,2.6,7.7,0.0007537214999057848
20,Norway,Oslo,59.913330099999996,10.7389701,-4.3,-4.0,-0.2,4.5,10.8,15.2,16.4,15.2,10.8,6.3,0.7,-3.1,5.7,0.005747126436781609
21,Norway,Tromsø,69.64929690000001,18.9548489,-3.8,-3.7,-2.3,0.7,5.1,9.2,11.8,10.9,6.9,3.2,-0.6,-2.7,2.9,0.0002826455624646693
22,Poland,Warsaw,52.2319237,21.006726500000003,-1.8,-0.6,2.8,8.7,14.2,17.0,19.2,18.3,13.5,8.5,3.3,-0.7,8.5,0.022046353872244205
23,Portugal,Lisbon,38.707750700000005,-9.1365919,11.6,12.7,14.9,15.9,18.0,21.2,23.1,23.5,22.1,18.8,15.0,12.4,17.5,0.029018277746372716
24,Romania,Bucharest,44.4361414,26.1027202,-1.3,0.4,5.4,11.2,16.8,20.6,22.5,22.0,16.9,11.0,4.7,0.2,10.8,0.010457885811192764
25,Russia,Moscow,55.7504461,37.6174943,-6.5,-6.7,-1.0,6.7,13.2,17.0,19.2,17.0,11.3,5.6,-1.2,-5.2,5.8,0.04823817599397023
26,Serbia,Belgrade,44.8178131,20.4568974,1.4,3.1,7.6,12.9,18.1,21.0,23.0,22.7,18.0,12.9,7.1,2.7,12.5,0.0002826455624646693
27,Spain,Barcelona,41.3828939,2.1774322,11.8,12.4,14.2,15.8,19.3,23.0,25.7,26.1,23.0,19.5,14.9,12.3,18.2,0.02553231580930846
28,Spain,Seville,37.388630299999996,-5.9953403,10.9,12.5,15.6,17.3,20.7,25.1,28.2,27.9,25.0,20.2,15.1,11.9,19.2,0.0008479366873940079
29,Spain,Madrid,40.416704700000004,-3.7035824999999996,6.3,7.9,11.2,12.9,16.7,22.2,25.6,25.1,20.9,15.1,9.9,6.9,15.0,0.016299227435462596
30,Sweden,Stockholm,59.3251172,18.0710935,-2.8,-3.0,0.1,4.6,10.7,15.6,17.2,16.2,11.9,7.5,2.6,-1.0,6.6,0.0248728094968909
31,Switzerland,Zürich,47.3769434,8.5414061,0.3,1.3,5.3,8.8,13.3,16.4,18.6,18.0,14.1,9.9,4.4,1.4,9.3,0.03250423968343697
32,Turkey,Istanbul,41.0096334,28.9651646,5.7,5.7,7.0,11.1,15.7,20.4,22.9,23.1,19.8,15.6,11.5,8.0,13.9,0.003485961937064255
33,Ukraine,Kiev,50.4501071,30.5240501,-3.5,-3.0,1.8,9.3,15.5,18.5,20.5,19.7,14.2,8.4,1.9,-2.3,8.4,0.011588468061051441
34,United Kingdom,Edinburgh,55.953345999999996,-3.1883738999999998,4.2,4.5,6.2,8.1,10.8,13.5,15.3,15.2,13.0,9.8,6.7,4.2,9.3,0.009609949123798756
35,United Kingdom,London,51.5073219,-0.1276474,4.3,4.5,6.9,8.7,12.1,15.1,17.3,17.0,14.3,10.9,7.2,4.7,10.3,0.2805728283399284
